Kingsport,TN,0,0,1,3,6
Charleston,WV,0,0,1,3,5
Green Bay,WI,0,0,1,2,3
Roanoke,VA,0,0,1,3,5
Lincoln,NE,0,0,1,2,4
Utica,NY,0,0,1,1,2
Boulder,CO,0,0,1,4,8
Fort Collins,CO,0,0,1,4,8
Fort Smith,AR,0,0,1,3,7
Columbus,GA,0,0,1,3,5
Huntington,WV,0,0,1,3,5
Spartanburg,SC,0,0,1,3,5
Erie,PA,0,0,1,1,2
Duluth,MN,0,0,1,2,4
Atlantic City,NJ,0,0,1,1,2
Lubbock,TX,0,0,1,3,7
San Luis Obispo,CA,0,0,1,4,9
Norwich,CT,0,0,1,1,1
Hagerstown,MD,0,0,1,3,5
Clarksville,TN,0,0,1,3,6
Holland,MI,0,0,1,2,3
Lafayette,LA,0,0,1,3,7
Gainesville,FL,0,0,1,3,5
Myrtle Beach,SC,0,0,1,3,5
Cedar Rapids,IA,0,0,1,2,4
Santa Cruz,CA,0,0,1,4,9
Greeley,CO,0,0,1,4,8
Merced,CA,0,0,1,4,9
Lynchburg,VA,0,0,1,3,5
Binghamton,NY,0,0,1,1,2
Olympia,WA,0,0,1,4,9
Amarillo,TX,0,0,1,3,7
Bremerton,WA,0,0,1,4,9
Laredo,TX,0,0,1,3,7
Kennewick,WA,0,0,1,4,9
Gulfport,MS,0,0,1,3,6
Yakima,WA,0,0,1,4,9
Sioux Falls,SD,0,0,1,2,4
Macon,GA,0,0,1,3,5
Waco,TX,0,0,1,3,7
Topeka,KS,0,0,1,2,4
Champaign,IL,0,0,1,2,3
Barnstable Town,MA,0,0,1,1,1
Chico,CA,0,0,1,4,9
Appleton,WI,0,0,1,2,3
Prescott,AZ,0,0,1,4,8
Burlington,VT,0,0,1,1,1
College Station,TX,0,0,1,3,7
Springfield,IL,0,0,1,2,3
Tuscaloosa,AL,0,0,1,3,6
Longview,TX,0,0,1,3,7
Las Cruces,NM,0,0,1,4,8
Tyler,TX,0,0,1,3,7
Houma,LA,0,0,1,3,7
Medford,OR,0,0,1,4,9
Saginaw,MI,0,0,1,2,3
Florence,SC,0,0,1,3,5
Racine,WI,0,0,1,2,3
Elkhart,IN,0,0,1,2,3
Bellingham,WA,0,0,1,4,9
Lake Havasu City,AZ,0,0,1,4,8
Johnson City,TN,0,0,1,3,6
Fargo,ND,0,0,1,2,4
Charlottesville,VA,0,0,1,3,5
Yuma,AZ,0,0,1,4,8
Lafayette,IN,0,0,1,2,3
